Comments,sentiments
"Twins Video Leak: You Are Childish, Samklef Hits Back At DavidoNigerian music producer and artiste, Samklef, has publicly berated afrobeats superstar, Davido, whom he accused of blocking him on social media over leaking the now viral video of his newborn twins.LEADERSHIP had earlier reported that a video showing Davido, his wife and the newborn twins leaving a United States hospital circulated online on Friday.Davido slammed Samklef for allegedly sharing the video public on Instagram, describing the music executive as a “clouth chaser” among other uncomplimentary words.Although Samklef, who clarified that he saw the video on X (formerly known as Twitter) and posted same, later told fans that he and “Davido are kool”. However, hours later, he made a video expressing displeasure for what he called “disrespect” from Davido.A visibly angry Samklef said: “I have never posted anything negative about you Davido, but today Davido, you allowed your emotion, you came to my timeline to disrespect me.“First and foremost, me and you no be mates, you met me in this industry, we are not mates. If you are Davido, you are Davido for yourself. We are celebrating for your good news. Say you want to dey intimate me ni? O wa si timeline mi, o so fun mi pe ‘I am wicked, I am clouth chaser’. Then, what are you? You we dey call person, are you not a clouth chaser? What have you been doing all your life? You think say I dey fear you? I dey give you respect but you no respect yourself. This na good news, we supposed dey dey celebrate you.“I sent you a message, I believe that as a wise guy, you supposed to understand. First and foremost, who recorded that video? Secondly, the person that recorded and leaked that video is from your circle. Why you no go blame other people? Why did you choose me? Oh, is it because your other guy did not post it first, I posted it first? Is that why you were attacking me? I want you to tell me.“Because for the fact that you blocked me, it shows that you are pathetic and you are childish. I don’t belong to anybody, I no dey fear anybody. Loud and clear!”https://leadership.ng/twins-video-leak-you-are-childish-samklef-hits-back-at-davido/ https://www.youtube.com/watch?v=4XKGF-LEj0M?si=7gZl7f6VMw0UqBsu",negative
"Despite the hardship the country has been plunged into,we(Nigerians) have seemed to have found succour in the internet.....If data no dey my phone,my body no dey ever do me well...",negative
Why Cold War no go deyWhen every governor that has ruled Lagos for the past 40yrs none of them be indigene of Lagos state The day the real lagosians will wake up it will be over for so many yoruba immigrants,negative
Lai Mohammed legendary liarAdesina and that round head both are graduates of Lai schoolThen Ngelale na internship baba dey on,neutral
Wike don give am expo.E dey prepare for the upcoming election.All these South West governors sef.,neutral
"Lol. Dem don dey go, one by one, dem don dey go. Lmao",neutral
Dem dey mourn Prigozhin.,neutral
After them chop finish them go get strength to dey abuse us wey try to make their life better by not voting for Buhari pro max.,neutral
"Wetin dey Cyprus?Na school and Yahoo boys dey there, not really a good country to make money",neutral
"This supposed institution called Marriage, smh, make I still dey look am small small anyways ..",neutral
"Wike, I think say you no dey fear, make them show you pepperNa other tribes una fit dey try rubbish withIf it were other tribe, would you have sat with them to straighten out the problemOur leaders deserve unapologetic violent people",negative
"Inectocracy vs Judicio-cracy = Nigeria DemocracyMoreover, why are our politicians no dey get certificate like this. Governance have be hijacked by touts.",negative
You spoil my water pump come dey insult me join.You must not come close to my house or else. And your mum is leaving at the end of her current lease.You think say na the way una dey come here dey insult una papa agemates without any repercussion na so e be for real life.I must deal with you...Make nobody beg me for here oh...,negative
THESE ISRAELITES DEY VERY STUPID SHAI NO BLAME DEM.....NA PHARAOH I BLAME WEY LET MY PEOPLE GO,negative
"One of the pillars of Islamic countries don dey ban hijab, but come to Nigeria where they are 2nd class Muslims and see them violently protesting and killing innocent people because of one single school banned hijab. Good job Kazakhstan!",positive
Abeg make e dey,neutral
Shey you dey wine me be Bahari.,positive
"Babatunde, make the hunger kill you there. Na your brother wey you vote for dey for aso rock.I think say as him win you will automatically become rich?",neutral
"Initial gra gar, u no get stable power supply, u wan do e governance, with the new power law signed by tinubu, instead of the governor to look for investor to set up an IPP plant , he is doing white elephant  e governance , dey playWe go ask how far 3 months from now",negative
"Asari, the pig. Na APC dey give the clowns morale.",negative
"Which Op & Mod dey jobless ATM?E get design to dey Chow rice?@OP, Time travel machine dey available for sale DM me, make i send u errand",neutral
Housegirl dey play with oga pet.,negative
why una like to dey call shalipopi ontop anything wey consign Benin       na to coronate shallipopi the next oba of benin,positive
Simon Ekpa has dared your father to come out on Monday and the old man has decided to hide under the bed. This is someone who you claim was a Military Administrator.Such a shame.That one is not your problem. You took night bus to Lagos to come and be crying senselessly over a matter that is not your concern.I don't know why some foolish efulefu will leave matters of life and death affecting Ndigbo to jump into another person's land to be licking their wounds.It is this kind nonsense behaviour that makes people look down on Igbos. You dey disgrace Ndigbo.,negative
"my man.Those years we too dey tie scarf like our idol   .of Boys11 men,MC Hammer etc.Not the Mumu we have here shouting  wahala,wahala,bo pata e,mama e,olori buruku etc lyrics/tunes they cal music.RIP TUPAC",negative
"ChaiHe gave 15 million he was never high-handed then. But when he punished workers for resuming late he immediately became high-handed, even some trying to make it a tribal issue. This apology dey pain me, so many creative minds out there unemployed, and suddenly workers have the guts to resume work at 1pm which is 3hrs after the boss. It's the guts for me.What umahi should know is that In this job, people will not like you, but in the end, if you do it well, you will be appreciated. Things are tough, yes, but we cannot live in a lawless society because things are tough.",negative
"oyigbo update the second  You don play this script over and over again, you no dey tireThe government claimed they flushed out Igbos yet they can't flush this one out  propaganda go finish una Asari Dokubo well done oooWe dey see your handiwork",negative
"Hmm.That’s the issue with lands in the country. Now that you have mentioned it to them, they surely expect you to either give them a cut or they sell it without giving you shishi. If the said land in within a good area, they simply will give you another one in a more remote part of the area.I have the same issue currently. Certain strong men now claim that since I purchased the said land from their fathers, now we must SHARE the proceeds from sale if it is sold. The value currently is at 10m and they want us to split 50/50. Wahala dey. Infact they have asked me not to bother as they will provide the buyer.All you need is care. If you attempt to force their hands, they get violent.",negative
Okay...Na to enter there dey observe,neutral
Nothing concern me but E dey mind,neutral
I wonder who dey vote for Dino!,neutral
"This one no be protest na. This is just dress rehearsal. By the time the real hunger induced protests start, even a combination of police, civil defense and military won't contain it.Make Tinubu just dey zuzu, his eyes go soon clear!",negative
"accordadoga38:HeheheNo home training anywhere again.Headless mobs everywhere.As a married man, I make sure I give proper training to my kids.Hypocrisy everywhere, no one wants to train their kids anymore but yet they are very religious going from church to mosque everydayYou are supposedly a single mother, at the same time you are also a married man. Poverty is terrible. Pay per post posters, na to dey write rubbish remain after your usual divisive tribalistic comments. Kudos OP. More grace.",negative
Ijewuru people won’t know when to leave after seeing so much meat. Awuf dey run belle sha,negative
Dey play,negative
Gross. Na only sex full dia head. You self dey scatter bress and yansh everywhere.Lost generation.,negative
LIA MOHAMMED just dey learn work,neutral
The teacher no dey dey poo poo? Na which kind winch she be?,negative
I dey fear to buy things from them,negative
Chai!When the parents no dey around!Those babies need therapy!,negative
Trillions of dollars in the bag!Na Saudi Arabia we suppose dey borrow from as they won't charge interest at all!But if Buhari or Tinubu try am.... CAN go open can...SERAP go sue!Christians go.....,neutral
"Dey play!Them don wicked you before ?If yoruba woman wan kill you, she go call you okomi, cook beta dish for you and give all night kitten but she go still go still kill you today.Generally, women are dangerous sha. Don't be tribalistic",negative
Could you point out to where I said the emboldened abi English dey confuse you?,neutral
"I just dey Pity Man utd, Collect 3-1 from my boys last game con still Collect same 3-1 from Brighton. Who Man utd offend Abeg make him forgive Them!!",negative
With the kind hardship wey dey nowAbiI no understand all these statistics Looking at the trendYou will notice that richer countries with high human development index and GDP are the most expensive to live inThey get value for their moneyI feel reverse is the case in Nigeria,negative
"una just dey take risk,what if she rejected the proposal...lols but congratulations to him she accepted",negative
First to do no dey pain Ina ruwa na,negative
"The kind of BP this administration dey give person enh, if u no strong for mind u no fit survive..R. I. P Mr odogwu nwabueze..",negative
Get your PVC…APC got angryVote wisely….. they felt attacked Come out and vote….. them vexDeclare public holiday for students to vote.. them say students will vote ObiRemain at your polling boot to make sure your votes are uploaded before living…..them vexNow all eyes on the judiciary….. them say we dey bully Judges Why is APC always against transparent statement?,neutral
Omo wetin dey happen.. LolTinubu binu tan,neutral
"FOR THE SAKE OF YOUR SANITY NEVER REPLY ANY OF KOBOJUNKIE POST.On the ongoing matter, Na Mumu dey marry Man because He dey spend on top Her. She be correct Mumu. If She leave the  guy next person wen she go marry go be Yahoo boy or Thief because na wetin dey attract Her be that.Man wen use Front and Back or Skin color as Criteria for marriage go likely marry ""wahala Promax"".Change you values and you will attract people like You. Check well, that Girl na from that Tribe wen like Money pass their anything.",negative
"If they don't do anything, u will blame them, if they do, u will Insult.. Alex otti construct just small gutter, una dey praise him.Na hatred and envy go kill una",negative
*This your chocolate cake dey enter eye o. Thanks dear.,neutral
"What should we do about it, why him dey complain give us, wetin, do the needful sir and let the country work.",negative
Lol Linda and always hunting for this kind of News he be like say he dey give her orgasmm.... maybe is time we av a Law in Nigeria once you go out derr to spoil the country name and serve a Jail term once you're extradited back to Nigeria after your jail term another 10yrs Jail should be served in Nigeria prison for spoiling the country name.....,negative
"Then police should stop arresting Olosho  , nah church babes and those Muslim babes wey always cover body like masquerade bad pass. Wetin dey under that masquerade dress bad gan    ,  as for church babes if you can press their mumu button bro dem go ride you like power bike  My point here is that no be by dressing ooo,  in fact olosho they learn where church babes dey",negative
So Atiku rigged Obi out as well.What was Obis margin of victory? Which states exactly did he win? Which local governments? Can these guys attempt to give us a little specifics? Abi evidence no dey?Such clowns.,negative
Maybe na detergent or morning fresh she dey use baff since.I believe her. 😆,neutral
THAT YORUBA DEMOND..... PREEK NO THE SIZE CONDOM... HE JUST DEY DROP HIS D.N.A ......BOTH HOME AND ABOARD. BABA DEY CARRY LEAQUE BACK2BACK..... OUR NIGERIA VERSION OF NICK CANNON AND FUTURE.,negative
"I hear say ladies dey ""Slay for Jesus""?",neutral
Granny still dey chop better cucumber,positive
"fly wey wan die nahim dey follow dead bodi enter grave.""Erdogan is an IPOB"" - urchintolas",negative
"i dont rate nw ne, if Sw went with south it was gave overNow that tinubu is a failure hope everyone eye don clear, some of them are only shocked he can be this badThey are hiding under give him two years let the failure be pronounce first, a failure with no strategy would still fail even in four yearsSW tinubu supporters no suppose dey talk sef, dem suppose dey shame that buhari can be better than a southerner",negative
"Una no dey sleep for this nairaland ?Person go say make e come online come ease off hours of brain activity, only to find owls and bats lurking in the shadows.",negative
"Davido gbe Pinnick ni handicap.Is that not money meant for our National team members? I just dey play oooo.Why will Davido collect money and not show up, let wait for his own side of the stories jor.Make u na go sort things among u na self.",negative
I feel so lonely. I feel so sad- Nigerian lady residing in Canada weeps as she recounts her life after relocating#wetindeyhappentv  https://www.youtube.com/watch?v=mWSftpQCZO4,negative
Lasg government dey play 😂😂😂,negative
No wonder things just dey work well for us,neutral
Tinubu just wan answer president nothing really dey to deliver aside playing politics.Nothing how he is still president yet playing politics like oppositionOperation loot and pretend you have project to complete in 2027 reelection,positive
The undisputed champion...keep it up galzTo marry basketballer dey sweet for me sha.,positive
"Does screening have another meaning? Cos im not getting this bow and go, these guys just dey show up like say they are working. 🤔",neutral
Nobody dey complain oga,negative
"The cheapest ticket to see Red Bulls vs. Inter Miami before kickoff was $480. That’s almost HALF A MILLION in NAIRA, just to see the 🐐 play, i bet you no go see him wella cos na rooftop you go dey. That’s insane effect, no be I influence semi retired players to the desert, mf stfu 😂🤣😂",negative
This is an eyesore. I diss officials who aren't alive to their responsibilities with “E Dey Pain Me” by Black Face feat. Rocksteady & Mallam Spicy. Great jam!,negative
"I don't get it. Of all the harsh economy problems we get for naija right now, na SE issue you want Tinubu to put for head .  .. SE.. wey be say na intentional dem dey wicked themselves.. abeg no disturb the fg .",negative
Na the coach beautiful pass. She dey enter my eye.,positive
Them no dey bury People for that Region. Na Cannibalism dey reign.,negative
LolAgba terrorist have spoken    Who dey breath.Make Una beg Nigeria not to invade Nìgèr ooo I no fit shout 🥹🥹,negative
"If they don't have the intention of stealing, why won't dey declare their assetsWe need to have a gathering and discuss this country again",neutral
This country na only music industry dey work.,neutral
Democracy wins as APC is sacked!Now the judiciary is okay!We dey hear Obi and Atiku but never their VPs!Where's Datti?Where's Okowa?,negative
"AdeloveHomes Pwhen is the Nigeria Police Recruitment going to take place ... I love NPF , I am really waiting for the recruitment exercise.Bribery and corruption dey your blood",negative
Naija to the world.We dey always represent.Let the Good outweigh the bad.Rhema = International Super Star 🇳🇬,positive
"You become too toxic for the corporate environment; buy building walls around yourself, they might gang up against you and get you fired.Learn how to balance social and corporate life while in the office...Just read Law 18 of 48 Laws of Power then you will know you're actually at risk.Na small pikin still dey do you.",negative
Ghanaians no dey sing again? Na only one person mistakenly make the top 20 in Ghana Ooo.,negative
"Ara Kaan Gaza !Una dey do yeye meetings & TRAINING abt,  common boko wey be Intra wee-wee uuna never comb, may we not experience international war visitor. We will keep praying for home & those at HOME 🏡 🙏",negative
"By the time Emilokan is through with NigeriaI no even dey pity anybody again,agbadorians,obidents,atikulators etcAll of una go see nweeeee",negative
Una wan dey fight Government? Issoraite..,negative
"Baby lawyerIf not for Datti Ahmed's Baze University, how will this idiot study Law...Now Datti Ahmed's Baze University is sharing law degree, Deji Adeyanju is a lawyer, Kenneth Okonkwo is a lawyerPeople that cannot meet up Law department requirements in UI, UNILAG, Uniben, Ahmadu Bello University Zaria.",negative
Reading this topic dey even irritate me,positive
"Is he not supposedl to discuss such with his wife who know their reality in the home?  Boyfriends whey dey give their babes money to cook for house no dey ask such question, na married man con dey ask am  He should also ask outsiders which colour of pant is best for his wife to wear to work",negative
Evil dey oOoOOh,negative
Fear no go dey allow this man sleep or sleep well at night. Chai!,negative
"Anything dey Nigeria wen dem no dey add wuruwuru put?Abegi, make everybody shift for one place joor.We never know when we go get accurate and accessible data for this Obodo country.",negative
So you bring your son private life come Nairaland to come boast? You dey expose am to bad guys.Na so you dey return from club at midnight wey armedrobbers follow enter come Rob you.Be guided,negative
Na mumu dey go UK now. Except to school and return Their new visa fee is pure financial slavery,negative
TO BEAT DIS RENO OMOALAKORI BOY JUST DEY HUNGRY ME,negative
Petition who😂😂In a country where falsification is not regarded as crime anymore.Just dey play.,negative
Damnnn niggar Rest in peace We were born to dieAnd lexus Es and Rx dey tear for express road anyhow,negative
"Minimum wage increase yet approved?....I keep wondering why minimum wage standard does not apply to the political office holders or are they not also government workers?That said if you yet have a source of income that comes in a foreign ccurrency  higher in value than naira as the economy stands as @now then find one and the best way is via online in form of investment, product(s) or & service(s).Triangles1:It can take years to discuss minimum wage increments but just a day to stop subsidy.naijaboy756 post=124937917:Most times when government hold talks,They are just buying time!!!Did they hold any talk before fuel price was increased?Person wey no dey under son no go know say grand dey hot.",negative
I can't say I like it either. But a message from a colleague or friend could be misinterpreted or misunderstood. And some people no dey listen to explanation!,negative
"https://www.youtube.com/watch?v=Im-tSpzHYw0Check out this mosquito meat made from 500,000 mosquitoes 😲 Well if you care for a delicious mosquito beef burger, or mosquito meat stew, you know where to find it now  #wetindeyhappentvhttps://www.instagram.com/reel/Cw2w23MJu2h/?igshid=NjIwNzIyMDk2Mg==",negative
Baba dey give dem Head & Headache dey go.. politically,neutral
"Jaw go dey pain person.This gum stressed my jaw that year eeh,and e can strong once the sweetness is out,e go come strong one kain,one kain.",negative
"Tribunal verdict is not to reflect anybody's mind but to reflect the constitutional grounds......the problem with u ppl is once u lose the institution is bad but had it been it was in ur interest u will say dey r d bestNigeria does not start and end in d south, obi was just saying he won, he should mention the state he won the he got rigged out",negative
"no bro , I no dey interested in Ghana. Wetin differentiate Ghana from naija?",negative
Ponmo dey feel like beef. Mr Ghanaian Refugee dey feel important,neutral
"As a Nigerian, just do whatever you like. It might work for you and people will even clap for you.Pray to have so much money to keep shutting up police sha cos na there wahala dey.see as this one openly admitted to offering 100k bribes to delegates",positive
"Why the case no go drag, if e no drag, how police wen dey chop bribe steady?",negative
"The question is always "" has the standard of proof been satisfied?"". And not until this is done, all na noise wen LP dey make",negative
Where you dey Ogunleye Idris,neutral
Wahala dey sleep,neutral
Shame no dey even catch you small.,negative
Na lie? Abi na Spain him dey,negative
"Please this is not the price on parallel market ooNo go meet any Aboki to sell dollar for you at 993 They’ll stab you immediately Dollar still dey $1380 for Aboki hand ooJust like I said if una like make una vote rubbish e go favor me pass una since una no wan get sense leave tribalism I’m stacking bitcoin on my private wallet almost every two two daysMake economy dey spoil make Naira dey fall e dey favor meCheck the date two times coins on 28th and one received 4am this morning and you can see the name TaylorWahala for who no dey get dollarsLeoDeking and Yarimo make una lower una pride beg me money I go give una 200k each right now. No DM just quote this post and drop account I’ll run it at POSIf I complain una go call me chief wailer, that I’m jobless that’s why I’m always online, that I’ll wail tireI go smile look people wey I fit feed their generation with one month bitcoinTinubu till 2098",negative
"Stand very well, you hear? After all, you have been training with Bendel Insurance.You will stand there till you are tired.Did he reach out to the Governor when he was planning to install a Speaker?Did he reach out to the Gov when he was going to Court? No Dep-Gov has won that way.You want the Gov to apologize to him? Shaibu should be taught a thorough lesson tbh, he is still showboating.You eff up instead of you to mellow, you dey buga.",negative
"Ahmadu Bello saw these people coming a mile away.As I would always advice, never give privileges to the Igbos that they would themselves not give their fellow Igbos.How many Abia Igbos have been appointed commissioner by an Anambra Governor?How many Enugu Igbos have been appointed commissioner by an Imo Governor?Every one should learn to be fiercely territorial like the Igbos do on their internal relations and their external relations.SayNo2SmallPrik:Why Hausa or Yoruba no Dey claim all this rubbish. Why always Igbo ? Ahmadu Bello better describes it. https://www.youtube.com/watch?v=5_odAy4rVz8",negative
"Try dey speak reasonably sometimes.. Don't always display your stupidity for the whole world to see.. You are only pursuing the unfortunately man that will marry you away....What does this have to do with Obi?Back to the matter, loan app ńa Werey people",negative
"Na lie, na because car no dey that time",negative
I am loving this  On his mandate I stood sayers no dey buy fuel. They supply them for free..   Their dollar exchange rate is $1 to 1#.. The $900+ rate works only with Obi and his followers .. Ahahaha,negative
Isoright Nor all these kind games dey end for drawHe go shock everybody,positive
Dey play,negative
"Even in Lagos, na ya criminal element brothers dey vandalize rail tracks, all over the country, na you and your brothers so the joke is on you..",negative
Let's have it ...All those semi-god yeyebrities dem...dem go shade you and won't even allow you give them the clap backs before they block you.The thing dey pain,negative
"Since you guys cannot make your comment peacefully then we are here to drag una like tiger generator. Truly, Lagosians are following a man but so farwhere Lagos dey today, it will take Edo state another 100 years to reach there.",positive
"https://www.youtube.com/watch?v=uj7yt8sshx4Criminal nabbed after getting busted by ""JuJu""  #wetindeyhappentv",neutral
15k for which economy? Abi nobi Nigeria you dey?,neutral
"Omoh, as country hard, na so I carry my car enter road for UBER in Abuja after completing UBER car inspection.Customers (riders) nyafu nyafu for road, Na so so pick up alert I dey receive, surge choke! I was enjoying my new job until I decided to close for the day and go home and rest after spending some hours driving.Mhenn... I got the biggest shock of my life! I made 22k within couple of hours...Excited? Please don't be excited, it was a bad shock!UBER took 35% of the total money I made and the rest of the money went to fuel (Bought fuel for N617 per litre). I got home on empty tank.My profit was.... guess?Five Hundred and Fifty Naira only (N550)  UBER drivers, please share your experience.",negative
Good...And refund isn't enough the Police officer should be sentenced if na to death or anyone they need to be punished refund isn't enough...That Police Spokesman should cover his Face in shame...Yarning jargons if a Police extort you that means you're into something illegal...Na people wey still dey engage him I no understand yesterday that's how he said if a Police run you stop and search and they found nothing and you're told to follow dem make u follow dem nd when you reach dere ask for DPO...,negative
"Most women can't handle rejection , small breakup she wan jump inside lagoon...lol 😂Breakfast wey men dey chest everyday.",neutral
"Believe this report at your own.These people wen thier accountants don dey help format their Books so that dem go fit Bobo us.Abeg, if Business no pay una, make carry una Kaya dey go.We get Glo and na our persin get am.",negative
Gbaja dat played ASUU.... Make labour dey play oh,negative
"Too bad.. but these climate protesters are doing way too much. I watched a video of a woman pleading with them that her child is sick and needs medical attention, they still refused to Leave the way for her to drive through.So many annoying video footages on them.They sit on the road causing so much traffic, dem forget say na Kolo country dem dey, people are looking for reasons to pull trigger.",negative
WARNING just dey fly about. so much tension today,negative
"Walahi talahi I am enjoining this strike. E too dey sweet me for body.Ajepako Abeg cook rice and beans come for me, I dey house dey wait for you",negative
"Lie Mohamed is a saint to where this Ngele boy dey, imagine how good he will be when he gets old, even devil self go dey jealous am",negative
People still dey subscribe to DStv. Mtcheeeew,neutral
"Una dey complain of sherriff, what of that albino in akwa ibom when don close shop",negative
Play play food don dey turn another thing now,neutral
No be everybody dey lie like you nah,negative
"This people and their barbaric act.Two adults having lived together for 23 yrs and raise kids together, one of them decides to pack the children and claim because dowry wasn't paid.Mumu, you know say dem no pay dowry before but you open leg make dem plough your vineyard.After 23yrs, you come still dey do more mumu acts, instead make your people correct you, dem still dey support your mumu doings.",neutral
"Yes, insecurities war, hunger war, inflation war, poor electricity even my penis no dey rise again, over thinking no fit solve problem",negative
Matter wey dey before PDP pass all these dramas. They're in court for President Tinubu's continuous assessment scripts in far away Chicago.,negative
You too dull broTry dey use your number 6 small small,neutral
"The strikers don turn to defenders. Chai, Ajaero just dey receive beating from every angle.  Bad news for some people. Sane Nigerians are happy with this development news.Forward ever Nigeria",neutral
"This na something wey dey happen steady na. Many Male Doctors are randy. Sleep with patients, sleep with Nurses.",neutral
"Getting tired of all these meet these and meet that.What of person wey get c parallel. Why we no dey meet those ones.After all, it doesn't necessarily mean that these A Graders would be more successful in life than the other ""olodos""",negative
"This monster that Tinubu and APC are building will soon consume them. Make una dey jubilate over Asari setting up his own private Army on behalf of Tinubu. Once they fallout, he will still come out openly to spill the beans. And he will go after them one after the other.",neutral
@BenHundeyin,neutral
"naija youth did generator that runs on water, and up till now nobody for naija dey talk about this guy,including socalled busybody press people, both people in govt. and outside govt.There is no doubt that some so-called elite don't want people to stop paying for fuelling generators IF NA CHINA THIS GUY WILL BE A BILLIONAIRE,THEY WILL PATENT HIS TECH AND PAY HIM OFF AND MASS PRODUCE THIS WATER GENERATOR.the rich no want the poor to breathe in this country from economic point, they keep suppressing them.  https://www.youtube.com/watch?v=JLZHSehpvbs",negative
Nothing concern me but E dey mind,neutral
That man don see thing wey man mouth no fit talk... See as he dey smile!!!    .. better food don land!!,negative
Tinubu nah hermaphrodite. Nah why dem dey call am ebola,neutral
Dem 4 beat am well. Everytime e go rush come back owerri wan come disturb our peace. Just because na imo man. Dey always declare Strike. No light anytime e do dat tyn.,positive
You no suppose dey surprised na... We too dey celebrate mediocrity for 9ja,neutral
Useless agbado analysis. Kwara State wey dem still dey pay 150k for 2 bedroom flat,negative
Remove David hundeyin from your nonsense empty comment,negative
Watin abokis go dey thick of now?,neutral
Wein dey happen,neutral
Dem say na Naija dey supply Ghana light So Ghana dey pay up steadily or na lie. So make nepa people carry ladder go there for disconnection na as dem dey do to Nigerians.  We owe China and world bank moey too.,negative
This one dey form hard man...if hand touch you now. Na to shout egbami oooo!!,negative
"Sorry Chief, journalists don't earn their feathers by partying with leaders. They do so by toeing the line of truth, no matter whose ox is gored.Jamal Khashoggi, Times Person of the Year 2018, has much more achievements and recognition than any member of the Saudi Crown. David Hundeyin is on that same path.Go and verify.",negative
Would you buy this car for N10m? #wetindeyhappentvhttps://www.instagram.com/reel/CwxZYZApFcr/?igshid=NjIwNzIyMDk2Mg== https://www.youtube.com/watch?v=9syHClYlHK4,neutral
"Na just we dey do ourselves...!! When e never reach u, na corruption.....when finally it gets to you, na connection!!....Na turn by turn sha till naija decides to get well..",negative
More problems exposed in his life. I believed it won't be the downfall of NairamaleyHim jazz don dey expire,neutral
Can you hear yourself? Na so dem dey do governance?,neutral
Na diversity wey don scatter Nigeria dey make body dey sweet you so... 🤦🏽‍♂️,positive
I had to stop from the beginning.... Nigerians no dey ever listen... No give animal food.... She dey stretch hand dey give am the food..... Na wa o,negative
Lol so na him family he dey work for....,neutral
You and this mercychen moniker self .What will I do. She's my twin na. I no go just keep quiet dey look.,negative
You sure the laughter comes truly from your mind ?Because na cry cry you fit dey cry so 😂,negative
People still dey fvck for dream?🤷,neutral
"Does it make its consumer ageless?Na drug pushers and thieves like Nigerian politicians go dey buy am anyhow. Or, babes like Etiko who dey easily cash out from wetin we know. Who hustle make legit money no go buy am.Anyways, people like OBO and Wizzy dem no be thieves but dem fit buy am because dem no dey suffer much to make millions from shows these days. Dem go even use am dey get more fans.",negative
U must be a dullard while in school. See as u dey shame urself anyhow,negative
"Na una (Agents) greed and Yahoo boys stupidity  make house dey very expensive now. Can u imagine for my area for Ikotun, just because dem renovate one house for my street, na im dem increase the rent of 3bed from 400k to 800k. i know say building materials is on the high side, but make una dey chill now? 800k without Agreement and commission o? las las, na around 1.1 or 1.2 M go end as total package and before u know it, 1 year don reach to renew again. in 2 or 3 yrs time, na to wan increase am again. na wah.",neutral
Dey go meet dem for airport for discussion as usual,neutral
Alhaji Siddiq Kojoli sef dey there.,neutral
"Darwin Nunuez, ever since u've picked form and stopped ur shots on goalpost, I've just been falling in love with ur playstyle(no homooo)I nor wan see Gakpo for Nunez position again oooo..make e jejely dey play e LW",negative
Na only Igbo them dey rule abi Mumu..Na only Igbo dey buyfuel 600We hate that we are sharing Same country with daft people like you.. drawing us back,negative
"Wow! Go, girls! We love you all. The Super Falcons will trash England women too.Our women dey try well well even amid bad administration across all our sports sector.",positive
Lol make I no ask if all this thing are real ....Make person sha no Jam dem wether real or Fake....Joystick wey I still dey manage use pass time....,negative
The case is already in court... Most People have gone about their normal biz. Everything dey court hand now. So rest too,negative
"Apshit Sharing, statpadding and unpadding trillions through corrupt practices but una wan share your pathetic online wretched followers 8kDey play",negative
Be like na why Uniport dey hold Certificate verification exercise...,positive
Why you dey answer the fool?Tinubu supporters are possessed normally..to the idiot na me take dollar from 460 to 800. Allow am make he dance naked,negative
"ahnie I sure say dat yeye dog no dey ordinary, if not why e go be dat day wey I go their house e no go dey for chain. Anytime I remember that event praises go dey flow for my mouth throughout that day.",negative
"You eat the very seedlings you're supposed to be planting in fertile soils and you think you have a future. Dey playYou beg and borrow 400mill USD and then share the cash to imaginary families.Guys, USD400M can build a textile making factory that can employ thousands of youths and also make Nigeria a major player in the textile industry in Africa.USD400M can solve the mechanized agricultural needs of 15 States in Nigeria.USD400M can fund the primary health care problems of hundreds of local governments in Nigeria. I can list 50 different areas the people will benefit in the long term if this money is used by our ""less than average leaders"" we look up to for solutions. Brace yourself my people, until we start doing the right things, we are doomed in the hands of these manipulators tussling for power. You eat the very seedlings you're supposed to be planting in fertile soils and you think you have a future. Dey play.",negative
The mumu still dey campaign?,negative
"Imagine a 70 years old woman acting as if the woman evolves around her. People came to show support and you are there chasing them out ehn shebi you don chop everything con dey apologise abeg kiss my sexy black ass then go straight to hell, with the hardship wey dey wey some people don gazette say na there they go chop lunch and possibly take home dinner but felt because they didn't buy so you wan shame them hmmmm you can't shame the shameless 🙄",negative
"But if you tip the officers, you will get it as soon as possible. Dey play.",negative
"Lol, things are becoming clearer. This man no defect enter APC when Buhari was in power, why?. If you no fear Jagaban as political Messi of Nigerian politics, then you're dumber than a snail. Jagaban no go respond to una hate but una political leaders na dem go fight Jagaban fight, all dem Ngige, Okorocha, Ogbonnaya Onu, dem useless to Jagaban, Jagaban dey gather strong recruits that will break the spell Obi had on the easterners. Obi does not have any value to offer these men, so dem go make sure say he doesn't use his badluck to rub off on them. If these men would truly work for Jagaban, then something big is comgng to the SE.",negative
Smh. The problem some of you would put your innocent wives into ehn. Only you sleeping with all these random women? Na God dey protect married women. Ensure you keep that your red polygamous pr**k away from your pregnant wife.Ndi men are polygamous in nature.Men can cheat without catching feelings. But they can catch HIV and herpes. Tufiakwa!,negative
Nah only for bad thing dem dey see us.,negative
Yeye dey smell,negative
So village people dey South Korea too..,neutral
Who Never Chop Dey Buy Car,negative
This one just dey do do,neutral
people wey dey find am difficult to chop naim won buy ak47 ba?e come b like say we d masses get sense pass dis leaders,positive
"Fraud and the wahala it brings.Well, Mr. Dele you don enter the gbege wen you dey look for. All the Best ooo.To those who do Crypto, I hope una dey learn gradually.",positive
I DEY SURE SEY NA OVER ABORTION CAUSE THE CONDITION,neutral
"They think Kano people are NLC officials that they can cajole by speaking grammar?Dey play!!Unfortunately, Alhaji Gandollar ca not do nothing in his beloved Kano state.",negative
https://www.youtube.com/watch?v=tTi_kaYeQ0kViral video of Adamawa SUG president and his orderlies.This seems to be the trend now amongst universities SUG presidents.#wetindeyhappentv,neutral
